judgement,qid,query,ndcg@10,map,bpref,name,num_docs,num_results
qrels,107,medication adhd anxiety,0.22212782793993274,0.2408837848929258,0.3425378040762656,monoT5,128,129
qcred,107,medication adhd anxiety,0.7748676264632411,0.9210986229904558,0.9732598763773186,monoT5,128,129
qread,107,medication adhd anxiety,0.8061146145519253,0.47903165497815897,0.35999999999999954,monoT5,128,129
