judgement,qid,query,ndcg@10,map,bpref,name,num_docs,num_results
qrels,93,Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?,0.5260981192820553,0.5735757722063297,0.6439452124935996,monoT5,197,198
qcred,93,Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?,0.5201842450474159,0.844443513754429,0.8212155817789635,monoT5,197,198
qread,93,Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?,0.6640216963679885,0.7384155564170654,0.6027298850574706,monoT5,197,198
