,name,qid,measure,value
0,qrels_colbert-pubmed-bert-rankings_at_10,1,map,0.0013966480446927375
1,qrels_colbert-pubmed-bert-rankings_at_10,1,bpref,0.00558659217877095
2,qrels_colbert-pubmed-bert-rankings_at_10,1,ndcg_cut_10,0.04739418218477539
90,qrels_colbert-pubmed-bert-rankings_at_10,101,map,0.04539821776663881
91,qrels_colbert-pubmed-bert-rankings_at_10,101,bpref,0.06140350877192982
92,qrels_colbert-pubmed-bert-rankings_at_10,101,ndcg_cut_10,0.393935760599782
93,qrels_colbert-pubmed-bert-rankings_at_10,102,map,0.016379310344827584
94,qrels_colbert-pubmed-bert-rankings_at_10,102,bpref,0.017241379310344827
95,qrels_colbert-pubmed-bert-rankings_at_10,102,ndcg_cut_10,0.38711748863018797
96,qrels_colbert-pubmed-bert-rankings_at_10,105,map,0.04421768707482993
97,qrels_colbert-pubmed-bert-rankings_at_10,105,bpref,0.052053209947946794
98,qrels_colbert-pubmed-bert-rankings_at_10,105,ndcg_cut_10,0.48432519180610833
99,qrels_colbert-pubmed-bert-rankings_at_10,107,map,0.04273504273504273
100,qrels_colbert-pubmed-bert-rankings_at_10,107,bpref,0.05062458908612755
101,qrels_colbert-pubmed-bert-rankings_at_10,107,ndcg_cut_10,0.33013764944712026
102,qrels_colbert-pubmed-bert-rankings_at_10,108,map,0.0072538860103626935
103,qrels_colbert-pubmed-bert-rankings_at_10,108,bpref,0.010362694300518135
104,qrels_colbert-pubmed-bert-rankings_at_10,108,ndcg_cut_10,0.2626633251188907
105,qrels_colbert-pubmed-bert-rankings_at_10,109,map,0.0
106,qrels_colbert-pubmed-bert-rankings_at_10,109,bpref,0.0
107,qrels_colbert-pubmed-bert-rankings_at_10,109,ndcg_cut_10,0.0
108,qrels_colbert-pubmed-bert-rankings_at_10,112,map,0.01911764705882353
109,qrels_colbert-pubmed-bert-rankings_at_10,112,bpref,0.021929824561403508
110,qrels_colbert-pubmed-bert-rankings_at_10,112,ndcg_cut_10,0.4440973278132557
111,qrels_colbert-pubmed-bert-rankings_at_10,113,map,0.007407407407407407
112,qrels_colbert-pubmed-bert-rankings_at_10,113,bpref,0.021609730848861284
113,qrels_colbert-pubmed-bert-rankings_at_10,113,ndcg_cut_10,0.13436872776344766
114,qrels_colbert-pubmed-bert-rankings_at_10,114,map,0.05492957746478873
115,qrels_colbert-pubmed-bert-rankings_at_10,114,bpref,0.056338028169014086
116,qrels_colbert-pubmed-bert-rankings_at_10,114,ndcg_cut_10,0.8092916130343136
117,qrels_colbert-pubmed-bert-rankings_at_10,116,map,0.05263157894736842
