judgement,qid,query,ndcg@10,map,bpref,name,num_docs,num_results
qrels,95,Reading problems in MS,0.033127111727194514,0.27165656214396056,0.16370808678500987,colbert_v1,210,210
qcred,95,Reading problems in MS,0.38995411685095993,0.8609848538840242,0.8463157894736858,colbert_v1,210,210
qread,95,Reading problems in MS,0.5473941821847753,0.9083766737909482,0.8509242695289189,colbert_v1,210,210
