judgement,qid,query,ndcg@10,map,bpref,name,num_docs,num_results
qrels,54,What does multiple sclerosis diagnosis include? What does it change?,0.8439754613891097,0.5698189425144938,0.572186511580451,colbert_v1,245,245
qcred,54,What does multiple sclerosis diagnosis include? What does it change?,0.596343846169433,0.9736581707809643,0.5282258064516129,colbert_v1,245,245
qread,54,What does multiple sclerosis diagnosis include? What does it change?,0.9608008655106622,0.9683970142106827,0.6672545561434438,colbert_v1,245,245
