judgement,qid,query,ndcg@10,map,bpref,name,num_docs,num_results
qrels,62,"disclosing multiple sclerosis at work, how will colleagues react?",0.4826073387355251,0.3119179986121431,0.32756696428571447,colbert_v1,219,218
qcred,62,"disclosing multiple sclerosis at work, how will colleagues react?",0.5,0.9603218352331133,0.9054688491308232,colbert_v1,219,218
qread,62,"disclosing multiple sclerosis at work, how will colleagues react?",0.9574284411791895,0.8874969057771473,0.7568794326241091,colbert_v1,219,218
