judgement,name,ndcg@10,map,bpref
qrels,BM25,0.2662392701484117,0.3645028124200418,0.2848499763578615
qcred,BM25,0.5834121795207514,0.7457715352180534,0.678208124755718
qread,BM25,0.5968649218451592,0.6091772963623935,0.3748193378585976
